,App,Category,Rating,Reviews,Size,Installs,Type,Price,ContentRating,Genres,LastUpdated,CurrentVer,AndroidVer,ContentRatingNUM
0,Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159.0,19.0,10000.0,Free,0.0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up,1
1,Coloring book moana,ART_AND_DESIGN,3.9,967.0,14.0,500000.0,Free,0.0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up,1
2,"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510.0,8.7,5000000.0,Free,0.0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up,1
3,Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644.0,25.0,50000000.0,Free,0.0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up,4
4,Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967.0,2.8,100000.0,Free,0.0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up,1
5,Paper flowers instructions,ART_AND_DESIGN,4.4,167.0,5.6,50000.0,Free,0.0,Everyone,Art & Design,"March 26, 2017",1.0,2.3 and up,1
6,Smoke Effect Photo Maker - Smoke Editor,ART_AND_DESIGN,3.8,178.0,19.0,50000.0,Free,0.0,Everyone,Art & Design,"April 26, 2018",1.1,4.0.3 and up,1
7,Infinite Painter,ART_AND_DESIGN,4.1,36815.0,29.0,1000000.0,Free,0.0,Everyone,Art & Design,"June 14, 2018",6.1.61.1,4.2 and up,1
8,Garden Coloring Book,ART_AND_DESIGN,4.4,13791.0,33.0,1000000.0,Free,0.0,Everyone,Art & Design,"September 20, 2017",2.9.2,3.0 and up,1
9,Kids Paint Free - Drawing Fun,ART_AND_DESIGN,4.7,121.0,3.1,10000.0,Free,0.0,Everyone,Art & Design;Creativity,"July 3, 2018",2.8,4.0.3 and up,1
10,Text on Photo - Fonteee,ART_AND_DESIGN,4.4,13880.0,28.0,1000000.0,Free,0.0,Everyone,Art & Design,"October 27, 2017",1.0.4,4.1 and up,1
11,Name Art Photo Editor - Focus n Filters,ART_AND_DESIGN,4.4,8788.0,12.0,1000000.0,Free,0.0,Everyone,Art & Design,"July 31, 2018",1.0.15,4.0 and up,1
12,Tattoo Name On My Photo Editor,ART_AND_DESIGN,4.2,44829.0,20.0,10000000.0,Free,0.0,Teen,Art & Design,"April 2, 2018",3.8,4.1 and up,4
13,Mandala Coloring Book,ART_AND_DESIGN,4.6,4326.0,21.0,100000.0,Free,0.0,Everyone,Art & Design,"June 26, 2018",1.0.4,4.4 and up,1
14,3D Color Pixel by Number - Sandbox Art Coloring,ART_AND_DESIGN,4.4,1518.0,37.0,100000.0,Free,0.0,Everyone,Art & Design,"August 3, 2018",1.2.3,2.3 and up,1
16,Photo Designer - Write your name with shapes,ART_AND_DESIGN,4.7,3632.0,5.5,500000.0,Free,0.0,Everyone,Art & Design,"July 31, 2018",3.1,4.1 and up,1
17,350 Diy Room Decor Ideas,ART_AND_DESIGN,4.5,27.0,17.0,10000.0,Free,0.0,Everyone,Art & Design,"November 7, 2017",1.0,2.3 and up,1
18,FlipaClip - Cartoon animation,ART_AND_DESIGN,4.3,194216.0,39.0,5000000.0,Free,0.0,Everyone,Art & Design,"August 3, 2018",2.2.5,4.0.3 and up,1
19,ibis Paint X,ART_AND_DESIGN,4.6,224399.0,31.0,10000000.0,Free,0.0,Everyone,Art & Design,"July 30, 2018",5.5.4,4.1 and up,1
20,Logo Maker - Small Business,ART_AND_DESIGN,4.0,450.0,14.0,100000.0,Free,0.0,Everyone,Art & Design,"April 20, 2018",4.0,4.1 and up,1
21,Boys Photo Editor - Six Pack & Men's Suit,ART_AND_DESIGN,4.1,654.0,12.0,100000.0,Free,0.0,Everyone,Art & Design,"March 20, 2018",1.1,4.0.3 and up,1
22,Superheroes Wallpapers | 4K Backgrounds,ART_AND_DESIGN,4.7,7699.0,4.2,500000.0,Free,0.0,Everyone 10+,Art & Design,"July 12, 2018",2.2.6.2,4.0.3 and up,2
24,HD Mickey Minnie Wallpapers,ART_AND_DESIGN,4.7,118.0,23.0,50000.0,Free,0.0,Everyone,Art & Design,"July 7, 2018",1.1.3,4.1 and up,1
25,Harley Quinn wallpapers HD,ART_AND_DESIGN,4.8,192.0,6.0,10000.0,Free,0.0,Everyone,Art & Design,"April 25, 2018",1.5,3.0 and up,1
26,Colorfit - Drawing & Coloring,ART_AND_DESIGN,4.7,20260.0,25.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,"October 11, 2017",1.0.8,4.0.3 and up,1
27,Animated Photo Editor,ART_AND_DESIGN,4.1,203.0,6.1,100000.0,Free,0.0,Everyone,Art & Design,"March 21, 2018",1.03,4.0.3 and up,1
28,Pencil Sketch Drawing,ART_AND_DESIGN,3.9,136.0,4.6,10000.0,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.0,2.3 and up,1
29,Easy Realistic Drawing Tutorial,ART_AND_DESIGN,4.1,223.0,4.2,100000.0,Free,0.0,Everyone,Art & Design,"August 22, 2017",1.0,2.3 and up,1
30,Pink Silver Bow Keyboard Theme,ART_AND_DESIGN,4.2,1120.0,9.2,100000.0,Free,0.0,Everyone,Art & Design,"July 12, 2018",6.7.12.2018,4.0.3 and up,1
31,Art Drawing Ideas,ART_AND_DESIGN,4.1,227.0,5.2,50000.0,Free,0.0,Everyone,Art & Design,"May 31, 2018",1.2,2.3 and up,1
32,Anime Manga Coloring Book,ART_AND_DESIGN,4.5,5035.0,11.0,100000.0,Free,0.0,Everyone,Art & Design,"July 19, 2018",2.20,4.0 and up,1
33,Easy Origami Ideas,ART_AND_DESIGN,4.2,1015.0,11.0,100000.0,Free,0.0,Everyone,Art & Design,"January 6, 2018",1.1.0,4.1 and up,1
34,I Creative Idea,ART_AND_DESIGN,4.7,353.0,4.2,10000.0,Free,0.0,Teen,Art & Design,"April 27, 2018",1.6,4.1 and up,4
35,How to draw Ladybug and Cat Noir,ART_AND_DESIGN,3.8,564.0,9.2,100000.0,Free,0.0,Everyone,Art & Design,"July 11, 2018",2.1,4.1 and up,1
36,UNICORN - Color By Number & Pixel Art Coloring,ART_AND_DESIGN,4.7,8145.0,24.0,500000.0,Free,0.0,Everyone,Art & Design;Creativity,"August 2, 2018",1.0.9,4.4 and up,1
38,PIP Camera - PIP Collage Maker,ART_AND_DESIGN,4.7,158.0,11.0,10000.0,Free,0.0,Everyone,Art & Design,"November 29, 2017",1.3,4.0.3 and up,1
39,How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591.0,9.4,500000.0,Free,0.0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up,1
40,Drawing Clothes Fashion Ideas,ART_AND_DESIGN,4.2,117.0,15.0,10000.0,Free,0.0,Everyone,Art & Design,"July 20, 2018",2.0.1,4.0.3 and up,1
41,Sad Poetry Photo Frames 2018,ART_AND_DESIGN,4.5,176.0,10.0,100000.0,Free,0.0,Everyone,Art & Design,"April 2, 2018",1.0,4.0.3 and up,1
43,Paint Splash!,ART_AND_DESIGN,3.8,2206.0,1.2,100000.0,Free,0.0,Everyone,Art & Design;Creativity,"April 15, 2018",1.46,4.1 and up,1
44,Popsicle Sticks and Similar DIY Craft Ideas,ART_AND_DESIGN,4.2,26.0,12.0,10000.0,Free,0.0,Everyone,Art & Design,"January 3, 2018",1.0.0,4.1 and up,1
